isim,irk,ozet,rol,onemli_replik,fiziksel_ozellikler,bolge,yas,silah,iliski
Éowyn,İnsan,"Rohan'ın Beyaz Leydisi, cesur bir savaşçı. Nazgûl Kralını öldürdü.","Rohan Savaşçısı","Ben erkek değilim!","Sarı saçlı, mavi gözlü, soylu görünümlü",Rohan,24,"Rohan kılıcı ve kalkanı","Théoden'in yeğeni, Faramir'in eşi"
Théoden,İnsan,"Rohan Kralı, Saruman'ın büyüsünden kurtarıldı.","Rohan Kralı","Ölüm! Ölüm! Ölüm!","Yaşlı ama güçlü, beyaz saçlı",Rohan,71,"Herugrim kılıcı","Éowyn'in amcası, Éomer'in amcası"
Gollum/Sméagol,Hobbit,"Yüzük tarafından yozlaştırılmış eski bir hobbit. İkili kişiliğe sahip.","Rehber/Antagonist","Kıymetlimm...","Çelimsiz, soluk tenli, büyük gözlü",Misty Dağları,589,"Keskin dişler ve tırnaklar","Yüzük'ün eski sahibi"
Treebeard,Ent,"En yaşlı ve bilge Ent. Saruman'a karşı Entleri harekete geçirdi.","Ent lideri","Acele etmeyelim, çünkü acele edilmemesi gereken bir iş var.","Dev ağaç benzeri varlık, yeşil-kahve gövdeli",Fangorn Ormanı,Unknown,"Dallar ve kökler","Entlerin çobanı"
Éomer,İnsan,"Rohan'ın üçüncü Mareşali, sonradan Kral.","Rohan Mareşali","Rohirrimler! Kralınız için savaşa!","Uzun sarı saçlı, güçlü yapılı",Rohan,28,"Rohan mızrağı ve kılıcı","Théoden'in yeğeni, Éowyn'in ağabeyi"
Celeborn,Elf,"Lothlórien'in Elf Lordu, Galadriel'in eşi.","Elf lideri","Tehlike hala yakın.","Gümüş saçlı, asil görünümlü",Lothlórien,Unknown,"Elf kılıcı","Galadriel'in eşi"
Denethor,İnsan,"Gondor'un son Vekilharcı, Boromir ve Faramir'in babası.","Gondor Vekilharcı","Gondor düşecek.","Sert yüz hatları, gri saçlı",Gondor,89,"Gondor kılıcı","Boromir ve Faramir'in babası"
Peregrin Took,Hobbit,"Pippin olarak da bilinir. Merry'nin en yakın arkadaşı, Gondor muhafızı oldu.","Dokuz Yoldaşın üyesi","Peki ya ikinci kahvaltı?","Genç, şakacı görünümlü, kıvırcık saçlı",Shire,29,"Troll kılıcı","Merry'nin en yakın arkadaşı"
Meriadoc Brandybuck,Hobbit,"Merry olarak bilinir. Rohan süvarisi oldu, Théoden Kralın hizmetine girdi.","Dokuz Yoldaşın üyesi","Biz hobbitleri hafife almayın!","Zeki bakışlı, kıvırcık saçlı",Shire,37,"Rohan kılıcı","Pippin'in en yakın arkadaşı"
Nazgûl Kralı,Nazgûl,"Dokuz Yüzük Hayaleti'nin lideri, Angmar'ın eski Cadı Kralı.","Baş antagonist","Hiçbir erkek beni öldüremez.","Görünmez, siyah pelerinli",Mordor,4200+,"Morgul bıçağı, zehirli kılıç","Sauron'un en güçlü hizmetkarı"
Haldir,Elf,"Lothlórien'in muhafızı, Helm Dibi Savaşı'nda şehit düştü.","Elf savaşçısı","Bir zamanlar insanlar ve elfler arasında ittifak vardı.","Sarı saçlı, zarif yapılı",Lothlórien,Unknown,"Elf yayı ve kılıcı","Galadriel ve Celeborn'un muhafızı"
Grima Wormtongue,İnsan,"Théoden'i zehirleyen Saruman'ın ajanı.","Hain","Geç kaldınız, Gandalf Fırtına Kargası.","Soluk tenli, yağlı siyah saçlı",Rohan,63,"Hançer","Saruman'ın hizmetkarı"
Radagast,İstar,"Kahverengi Büyücü, doğa ve hayvanların koruyucusu.","Büyücü","Karanlık günler yaklaşıyor.","Kahverengi cübbeli, dağınık görünümlü",Rhosgobel,Unknown,"Büyücü asası","Gandalf'ın müttefiki"
Beorn,Ayı-Adam,"Şekil değiştiren, bazen insan bazen dev ayı formunda.","Müttefik","Orklardan nefret ederim.","Dev yapılı, siyah saçlı",Anduin Vadileri,Unknown,"Pençeler ve fiziksel güç","Yalnız yaşayan"
Glorfindel,Elf,"Gondolin'in eski savaşçısı, güçlü bir elf lordu.","Elf savaşçısı","Nazgûl'ler yaklaşıyor!","Altın saçlı, parlak görünümlü",Rivendell,Unknown,"Elf kılıcı","Elrond'un danışmanı"
Tom Bombadil,Bilinmiyor,"Orta Dünya'nın en eski ve gizemli varlıklarından biri.","Tarafsız","Hey dol! Merry dol!","Mavi ceketli, sarı çizmeli",Eski Orman,Unknown,"Hiçbiri","Goldberry'nin eşi"
Goldberry,Bilinmiyor,"Nehir kadını, Tom Bombadil'in eşi.","Tarafsız","Hoş geldiniz sevgili konuklar.","Altın saçlı, su gibi akıcı hareketli",Eski Orman,Unknown,"Hiçbiri","Tom Bombadil'in eşi"
Aegnor,Elf,"Noldor Elf'lerinden, Birinci Çağ'da yaşamış cesur bir savaşçı.","Noldor Savaşçısı","Karanlığa karşı sonuna kadar savaşacağız.","Altın saçlı, keskin bakışlı",Dorthonion,Unknown,"Elf kılıcı","Andreth'in sevgilisi"
Angrod,Elf,"Finarfin'in oğlu, Aegnor'un kardeşi. Dorthonion'un koruyucusu.","Noldor Prensi","Morgoth'un gücü artıyor.","Altın saçlı, soylu görünümlü",Dorthonion,Unknown,"Elf kılıcı","Eldalótë'nin eşi"
Adrahil II,İnsan,"Dol Amroth'un yirmi birinci Prensi, Finduilas ve Ivriniel'in babası.","Dol Amroth Prensi","Gondor'un güney kıyıları bizim korumamız altında.","Uzun boylu, asil görünümlü",Dol Amroth,Unknown,"Dol Amroth kılıcı","Finduilas'ın babası"
Aldor,İnsan,"Rohan'ın üçüncü kralı, Uzun Aldor olarak da bilinir. En uzun süre tahtta kalan Rohan kralı.","Rohan Kralı","Atlarımız kadar özgür, rüzgar kadar hızlıyız.","Uzun boylu, sarı saçlı",Rohan,Unknown,"Rohan mızrağı","Rohan hanedanının üyesi"
Annael,Elf,"Hithlum'da yaşayan Sindar Elf'i, Tuor'un koruyucusu.","Sindar Elf'i","Deniz bizi çağırıyor.","Gümüş saçlı, bilge görünümlü",Hithlum,Unknown,"Elf kılıcı","Tuor'un koruyucusu ve öğretmeni"
Lagduf,Ork,"Cirith Ungol'daki ork muhafızlarından biri.","Ork Muhafızı","[Kara Lisan'da küfürler]","Çirkin, yeşilimsi ten",Mordor,Unknown,"Ork kılıcı","Shagrat'ın askeri"
Ar-Adûnakhôr,İnsan,"Númenor'un yirminci kralı, Elf dostluğunu reddeden ilk kral.","Númenor Kralı","Batı'nın tanrıları bize hükmedemez.","Uzun boylu, sert bakışlı",Númenor,253,"Númenor kılıcı","Númenor hanedanının üyesi"
Eldalótë,Elf,"Angrod'un eşi, Noldor Elf'i.","Noldor Soylusu","Valinor'un ışığı hala içimizde yaşıyor.","Zarif yapılı, gümüş saçlı",Valinor,Unknown,"Hiçbiri","Angrod'un eşi"
Andreth,İnsan,"Edain'den bilge bir kadın, Aegnor'a aşık oldu.","Bilge Kadın","Ölümlülerin kaderi bir armağandır.","Koyu saçlı, derin bakışlı",Ladros,Unknown,"Hiçbiri","Aegnor'un sevgilisi"
Finduilas,İnsan,"Dol Amroth prensesi, Denethor'un eşi ve Boromir ile Faramir'in annesi.","Gondor'un Hanımefendisi","Denizin sesi beni hep çağırıyor.","Zarif yapılı, siyah saçlı",Gondor,Unknown,"Hiçbiri","Denethor'un eşi, Boromir ve Faramir'in annesi"
Fëanor,Elf,"Silmarillerin yaratıcısı, Noldor'ların en güçlü ve yetenekli elf ustası.","Noldor Prensi","Kimse benim eserlerimi çalamaz!","Ateşli gözler, siyah saçlı",Valinor,3000+,"Elf kılıcı","Nerdanel'in eşi, yedi oğlun babası"
Fingolfin,Elf,"Noldor'ların Yüce Kralı, Morgoth ile tek başına dövüşen kahraman.","Noldor Kralı","Çık ortaya, sen kara düşman!","Güçlü yapılı, soylu görünümlü",Hithlum,Unknown,"Ringil kılıcı","Fëanor'un üvey kardeşi"
Thingol,Elf,"Doriath'ın Kralı, Melian'ın eşi ve Lúthien'in babası.","Sindar Kralı","Benim krallığımda bir ölümlü prenses olamaz.","Gümüş saçlı, uzun boylu",Doriath,Unknown,"Aranrúth kılıcı","Melian'ın eşi, Lúthien'in babası"
Melian,Maia,"Doriath'ın Kraliçesi, büyük güçlere sahip Maia.","Doriath Kraliçesi","Kader ağlarını örüyor.","Olağanüstü güzellikte, karanlık saçlı",Doriath,Unknown,"Büyü","Thingol'un eşi, Lúthien'in annesi"
Lúthien,Elf,"Thingol ve Melian'ın kızı, Beren'in sevgilisi. Morgoth'u büyüsüyle uyutan efsanevi prenses.","Doriath Prensesi","Aşk ölümden daha güçlüdür.","Dünyanın en güzel varlığı",Doriath,Unknown,"Büyü ve şarkı","Beren'in sevgilisi"
Beren,İnsan,"Silmaril'i Morgoth'un tacından çalan kahraman, Lúthien'in sevgilisi.","Kahraman","Bir Silmaril için bin ölüme giderim.","Cesur görünümlü, güçlü yapılı",Dorthonion,Unknown,"Angrist hançeri","Lúthien'in sevgilisi"
Túrin Turambar,İnsan,"Lanetli kahraman, Glaurung'u öldüren savaşçı.","Trajik Kahraman","Morgoth'un laneti beni takip ediyor.","Koyu saçlı, kederli görünümlü",Dor-lómin,Unknown,"Gurthang kılıcı","Beleg'in dostu, Nienor'un kardeşi"
Húrin,İnsan,"Dor-lómin'in lordu, Morgoth tarafından lanetlenen kahraman.","Dor-lómin Lordu","Aurë entuluva! (Gün yine doğacak!)","Güçlü yapılı, altın saçlı",Dor-lómin,Unknown,"Savaş baltası","Morwen'in eşi, Túrin'in babası"
Morwen,İnsan,"Húrin'in eşi, Túrin ve Nienor'un annesi.","Soylu Kadın","Çocuklarım nerede?","Güzel ve gururlu",Dor-lómin,Unknown,"Hiçbiri","Húrin'in eşi, Túrin'in annesi"
Finrod Felagund,Elf,"Nargothrond'un kurucusu ve kralı, Beren'in dostu.","Nargothrond Kralı","Yeminimi tutacağım, dostum.","Altın saçlı, asil görünümlü",Nargothrond,Unknown,"Elf kılıcı","Beren'in dostu ve müttefiki"
Beleg Cúthalion,Elf,"Doriath'ın baş avcısı, Túrin'in en yakın dostu.","Usta Okçu","Dostum, nereye gidersen git, seni bulurum.","Güçlü yapılı, keskin gözlü",Doriath,Unknown,"Anglachel kılıcı, Belthronding yayı","Túrin'in en yakın dostu"
Maedhros,Elf,"Fëanor'un en büyük oğlu, tek elle savaşan usta kılıç ustası.","Noldor Prensi","Yeminimiz bizi bağlıyor.","Uzun boylu, bakır saçlı",Himring,Unknown,"Elf kılıcı","Fingon'un dostu"
Fingon,Elf,"Fingolfin'in oğlu, Maedhros'u Thangorodrim'den kurtaran kahraman.","Noldor Prensi","Dostluk her şeyden üstündür.","Siyah saçlı, cesur görünümlü",Hithlum,Unknown,"Elf kılıcı","Maedhros'un dostu"
Turgon,Elf,"Gondolin'in gizli şehrinin kurucusu ve kralı.","Gondolin Kralı","Şehrimiz sonsuza dek gizli kalacak.","Bilge görünümlü, uzun boylu",Gondolin,Unknown,"Elf kılıcı","Idril'in babası"
Idril,Elf,"Gondolin prensesi, Tuor'un eşi.","Gondolin Prensesi","Kalbim tehlikeyi hissediyor.","Altın saçlı, zarif yapılı",Gondolin,Unknown,"Hiçbiri","Tuor'un eşi, Eärendil'in annesi"
Tuor,İnsan,"Ulmo'nun habercisi, Gondolin'i uyaran kahraman.","Ulmo'nun Habercisi","Denizin sesi beni çağırıyor.","Güçlü yapılı, sarı saçlı",Gondolin,Unknown,"Elf kılıcı","Idril'in eşi, Eärendil'in babası"
Eärendil,Yarı-Elf,"Denizci, Silmaril ile gökyüzünde parlayan yıldız.","Denizci Kahraman","Valinor'a ulaşmalıyım.","Denizci görünümlü, parlak gözlü",Arvernien,Unknown,"Vingilot gemisi","Elwing'in eşi, Elrond'un babası"
Elwing,Yarı-Elf,"Silmaril'in taşıyıcısı, Eärendil'in eşi.","Silmaril Taşıyıcısı","Deniz beni çağırıyor.","Beyaz kuşa dönüşebilen",Arvernien,Unknown,"Silmaril","Eärendil'in eşi, Elrond'un annesi"
Círdan,Elf,"Teleri Elf'i, gemi ustası ve Narya yüzüğünün ilk taşıyıcısı.","Gemi Ustası","Deniz her zaman çağırır.","Uzun gümüş sakallı",Falas,Unknown,"Elf kılıcı","Gandalf'ın dostu"
Gil-galad,Elf,"Son Yüce Kral, Sauron'a karşı savaşta ölen kahraman.","Noldor Yüce Kralı","Sauron'u durdurmak için son şansımız.","Yüce ve güçlü görünümlü",Lindon,3000+,"Aeglos mızrağı","Elrond'un efendisi"
Isildur,İnsan,"Yüzük'ü Sauron'dan alan ama yok etmeyi reddeden kral.","Gondor Kralı","Yüzük benim! Kıymetli ganimetim.","Uzun boylu, soylu görünümlü",Gondor,Unknown,"Narsil'in kırık parçası","Elendil'in oğlu"
Elendil,İnsan,"Númenor'un düşüşünden kurtulan, Arnor ve Gondor krallıklarının kurucusu.","Yüce Kral","Batı'dan geldik.","Çok uzun boylu, güçlü yapılı",Gondor,Unknown,"Narsil kılıcı","Isildur'un babası"
Celebrimbor,Elf,"Güç Yüzükleri'nin yapımcısı, Eregion'un lordu.","Elf Ustası","Yüzükler mükemmel olmalı.","Yetenekli eller, keskin gözler",Eregion,Unknown,"Elf silahları","Sauron tarafından aldatılan"
Tar-Míriel,İnsan,"Númenor'un son meşru kraliçesi.","Númenor Kraliçesi","Batı'ya dönmeliyiz.","Asil ve güzel",Númenor,Unknown,"Hiçbiri","Ar-Pharazôn tarafından zorla alınan"
Ar-Pharazôn,İnsan,"Númenor'un son kralı, Sauron'u esir alan ama sonra onun tarafından aldatılan.","Númenor Kralı","Ölümsüzlük bizim hakkımız!","Gururlu ve heybetli",Númenor,Unknown,"Altın kılıç","Tar-Míriel'in zorla aldığı eşi"
Helm Hammerhand,İnsan,"Rohan'ın dokuzuncu kralı, efsanevi güce sahip savaşçı.","Rohan Kralı","Kış geldi, düşmanlarımız donacak.","Dev gibi güçlü, iri yapılı",Rohan,Unknown,"Çıplak eller","Helm Derin Koruganı'na adını veren"
Erkenbrand,İnsan,"Batı Sınırı'nın Lordu, Helm Dibi Savaşı'nın kahramanı.","Rohan Mareşali","Rohirrimler! Savaşa!","Güçlü yapılı, kızıl saçlı",Rohan,Unknown,"Rohan kılıcı","Théoden'in sadık komutanı"
Thorondor,Kartal,"Kartalların Kralı, Fingolfin'in cesedini kurtaran.","Kartalların Lordu","[Kartal çığlığı]","Devasa kanatlar, keskin gözler",Crissaegrim,Unknown,"Pençe ve gaga","Manwë'nin hizmetkarı"
Quickbeam,Ent,"Genç ve aceleci ent, Saruman'a karşı ilk harekete geçen.","Ent","Hoom! Acele etmek bazen iyidir.","Genç ağaç görünümlü",Fangorn Ormanı,Unknown,"Dallar","Treebeard'ın dostu"
Shelob,Örümcek,"Cirith Ungol'un dev örümceği, Ungoliant'ın son çocuğu.","Canavar","[Açlık sesleri]","Dev örümcek, çok gözlü",Cirith Ungol,Unknown,"Zehirli iğne","Sauron'un 'evcil hayvanı'"
Imrahil,İnsan,"Dol Amroth Prensi, Minas Tirith'in savunmasına katılan soylu.","Dol Amroth Prensi","Gondor düşmeyecek!","Elf benzeri güzellik",Dol Amroth,Unknown,"Süvari mızrağı","Aragorn'un müttefiki"
Gamling,İnsan,"Théoden'in muhafız kaptanı, sadık Rohan savaşçısı.","Rohan Kaptanı","Rohan'ın şafağı yeniden doğacak!","Yaşlı ama güçlü",Rohan,Unknown,"Rohan kılıcı","Théoden'in muhafızı"
Gwaihir,Kartal,"Rüzgarın Efendisi, Gandalf'ı birçok kez kurtaran kartal.","Kartal Lordu","Gandalf dostumuz tehlikede.","Büyük altın kahverengi kanatlar",Kartal Eyrie,Unknown,"Pençe ve gaga","Gandalf'ın dostu"
Celebrían,Elf,"Galadriel ve Celeborn'un kızı, Elrond'un eşi.","Rivendell'in Hanımı","Batı'ya gitmem gerek.","Gümüş saçlı, zarif",Rivendell,Unknown,"Hiçbiri","Elrond'un eşi, Arwen'in annesi"
Halbarad,İnsan,"Kuzey Kolcularının lideri, Aragorn'un akrabası ve sadık dostu.","Kolcu","Güney'e, Aragorn'a!","Uzun boylu, gri pelerinli",Eriador,Unknown,"Kolcu kılıcı","Aragorn'un kuzeni ve dostu"
Elladan,Yarı-Elf,"Elrond'un oğlu, Arwen'in ikiz kardeşlerinden biri.","Avcı","Orklara ölüm!","Elrond'a benzer",Rivendell,Unknown,"Elf kılıcı","Elrohir'in ikiz kardeşi"
Elrohir,Yarı-Elf,"Elrond'un oğlu, Arwen'in diğer ikiz kardeşi.","Avcı","Kardeşimle birlikte savaşacağız.","Elrond'a benzer",Rivendell,Unknown,"Elf kılıcı","Elladan'ın ikiz kardeşi"
Glorfindel,Elf,"İki kez yaşayan efsanevi savaşçı, Balrog katili.","Elf Lordu","Nazgûl'ler yaklaşıyor!","Altın saçlı, parlak",Rivendell,Unknown,"Elf kılıcı","Elrond'un baş danışmanı"
Erestor,Elf,"Rivendell'in baş danışmanı, bilge elf.","Danışman","İhtiyatlı davranmalıyız.","Koyu saçlı, ciddi görünümlü",Rivendell,Unknown,"Hiçbiri","Elrond'un danışmanı"
Gothmog,Ork,"Minas Tirith Kuşatması'nda Mordor ordularının komutanı.","Ork Komutanı","Şehri yerle bir edin!","Çirkin ve korkunç",Mordor,Unknown,"Kara silahlar","Witch-king'in yardımcısı"
Thorin Oakenshield,Cüce,"Erebor'un sürgün kralı, Yalnız Dağ'ı geri almak için savaşan lider.","Cüce Kralı","Erebor bizim hakkımız!","Uzun siyah sakal, asil duruş",Erebor,195,"Orcrist kılıcı","Bilbo'nun yol arkadaşı"
Smaug,Ejderha,"Erebor'u ele geçiren ejderha, muazzam hazinelerin bekçisi.","Ejderha","Ben Smaug'um, ateşin efendisi!","Kızıl pullu, devasa",Erebor,Unknown,"Ateş ve pençeler","Thorin'in baş düşmanı"
Thranduil,Elf,"Kuyutorman'ın Elf Kralı, Legolas'ın babası.","Elf Kralı","Benim halkım çok kan döktü.","Sarı saçlı, soğuk bakışlı",Kuyutorman,Unknown,"Elf kılıcı","Legolas'ın babası"
Bard,İnsan,"Esgaroth'un okçusu, Smaug'u öldüren kahraman.","Okçu/Kral","Ok son şansımız.","Uzun boylu, karanlık görünümlü",Dale,Unknown,"Kara Ok","Dale'in yeniden kralı"
Azog,Ork,"Soluk Ork, Thorin'in baş düşmanı.","Ork Komutanı","Durin soyunu yok edeceğim!","Soluk ten, metal pençe",Gundabad,Unknown,"Demir pençe","Thorin'in düşmanı"
Balin,Cüce,"Thorin'in en bilge danışmanı, sonradan Moria'nın lordu.","Cüce Lordu","Eski günleri hatırlıyorum.","Beyaz sakallı, yaşlı",Erebor/Moria,Unknown,"Cüce baltası","Thorin'in danışmanı"
Dwalin,Cüce,"Thorin'in en güçlü savaşçısı ve sadık dostu.","Cüce Savaşçı","Baltalarım hazır!","İri yapılı, dövmeli",Erebor,Unknown,"Çift balta","Thorin'in sağ kolu"
Kíli,Cüce,"Thorin'in yeğeni, okçu.","Cüce Prensi","Amcamız için!","Genç, sakalsız",Erebor,Unknown,"Cüce yayı","Fíli'nin kardeşi"
Fíli,Cüce,"Thorin'in yeğeni, taht varisi.","Cüce Prensi","Kardeşimi koruyacağım.","Sarı sakal, genç",Erebor,Unknown,"Çift kılıç","Kíli'nin ağabeyi"
Dáin Demir Ayak,Cüce,"Demir Tepeler'in kralı, Thorin'in kuzeni.","Cüce Kralı","Savaşa! Akrabalarımız için!","Kızıl sakal, vahşi görünüm",Demir Tepeler,Unknown,"Savaş çekici","Thorin'in kuzeni"
Bolg,Ork,"Azog'un oğlu, Beş Ordular Savaşı'nın komutanı.","Ork Komutanı","Cüceler ölecek!","Zırhlı, güçlü",Gundabad,Unknown,"Ork silahları","Azog'un oğlu"
Beorn,Ayı-Adam,"Şekil değiştiren, bazen insan bazen ayı formunda.","Şekil Değiştiren","Orklardan nefret ederim.","Dev yapılı, vahşi görünümlü",Anduin Vadileri,Unknown,"Pençe ve güç","Yalnız yaşayan"
Gollum,Hobbit,"Yüzük'ün eski sahibi, Bilbo'nun bilmece rakibi.","Yüzük Taşıyıcısı","Kıymetlimm...","Çelimsiz, büyük gözlü",Misty Dağları,500+,"Dişler ve eller","Yüzük'ün kölesi"
Elrond,Elf,"Rivendell'in Efendisi, Ay Harfleri'ni okuyan.","Elf Lordu","Durin Günü yaklaşıyor.","Bilge görünümlü, asil",Rivendell,6500+,"Elf kılıcı","Thorin'e yardım eden"
Radagast,İstar,"Kahverengi Büyücü, ormanın koruyucusu.","Büyücü","Orman hasta...","Dağınık görünümlü, kuş yuvası şapka",Rhosgobel,Unknown,"Büyücü asası","Gandalf'ın dostu"
Tauriel,Elf,"Kuyutorman muhafızı, Kíli'ye aşık olan elf.","Elf Muhafızı","Yıldızların ışığı sönmesin.","Kızıl saçlı, çevik",Kuyutorman,Unknown,"Çift hançer","Kíli'nin sevgilisi"
Alfrid,İnsan,"Esgaroth'un yöneticisinin yardımcısı, korkak ve hain.","Hain","Kendinizi kurtarın!","Çirkin görünümlü, pis",Esgaroth,Unknown,"Hiçbiri","Yöneticinin yardımcısı"
Yönetici,İnsan,"Göl-şehri Esgaroth'un açgözlü yöneticisi.","Yönetici","Altın! Daha fazla altın!","Şişman, süslü giysili",Esgaroth,Unknown,"Hiçbiri","Halkının düşmanı"
Girion,İnsan,"Dale'in son lordu, Smaug'a karşı savaşan.","Dale Lordu","Kara Oklar son şansımız.","Soylu görünümlü",Dale,Unknown,"Kara Ok yayı","Bard'ın atası"
Galion,Elf,"Thranduil'in şarap ustası ve kilerci başı.","Saray Görevlisi","Dorwinion şarabı en iyisidir.","Neşeli görünümlü",Kuyutorman,Unknown,"Hiçbiri","Thranduil'in hizmetkarı"
Balrog,Balrog,"Morgoth'un ateş demonları, Moria'nın derinliklerinde yaşayan Durin'in Felaketi.","Demon","[Korkunç kükreme]","Ateş ve gölge, devasa kanatlar",Moria,Unknown,"Ateş kırbacı, kılıç","Gandalf'ın düşmanı"
Ungoliant,Örümcek,"İlk Çağ'ın dev örümceği, Karanlık'tan gelen varlık.","Canavar","[Açlık sesleri]","Devasa örümcek, saf karanlık",Nan Dungortheb,Unknown,"Zehir, ağlar","Melkor'un eski müttefiki"
Watcher in the Water,Canavar,"Moria kapılarını bekleyen çok kollu su canavarı.","Bekçi","[Su altı sesleri]","Dev ahtapot benzeri",Moria Gölü,Unknown,"Tentaküller","Moria'nın bekçisi"
Fellbeast,Yaratık,"Nazgûl'lerin kanatlı binek hayvanları.","Binek","[Tiz çığlık]","Kanatlı ejder benzeri",Mordor,Unknown,"Pençe ve diş","Nazgûl'lerin binekleri"
Great Eagle,Kartal,"Manwë'nin hizmetkarları, devasa kartallar.","Müttefik","[Kartal çığlığı]","Dev kanatlar, keskin gözler",Misty Dağları,Unknown,"Pençe ve gaga","Gandalf'ın dostları"
Warg,Kurt,"Orkların binek hayvanları, dev kurtlar.","Binek","[Vahşi hırlama]","Dev kurt, keskin dişler",Mordor,Unknown,"Diş ve pençe","Orkların binekleri"
